丁	秨絃基	程蔼基	程基	Μ絃基	Θユ秖	А基[5]	А基[20]	А基[60]	А基[120]	А秖[5]	А秖[20]	А秖[60]	А秖[120]
102500	16831	16844	16831	16843	955	16830◆	16809	16851□	0	949◆	1348□	1160□	0
102600	16843	16844	16831	16832	475	16833◆	16809	16849□	0	860□	1342□	1147□	0
102700	16833	16842	16832	16842	390	16836◆	16809◆	16848□	0	572□	1335□	1145□	0
102800	16842	16844	16833	16837	475	16837◆	16810◆	16847□	0	562□	1303□	1134□	0
102900	16836	16838	16823	16824	612	16836□	16811◆	16845□	0	582◆	1265□	1134□	0
103000	16824	16829	16811	16815	870	16830□	16813◆	16843□	0	565□	947□	1125□	0
103100	16814	16826	16813	16822	521	16828□	16815◆	16842□	0	574◆	900□	1125□	0
103200	16822	16828	16821	16822	332	16824□	16818◆	16841□	0	562□	851□	1112□	0
103300	16822	16834	16815	16832	456	16823□	16820◆	16840□	0	558□	792□	1098□	0
103400	16832	16850	16830	16835	1345	16825◆	16822◆	16838□	0	705◆	795◆	1104◆	0
103500	16835	16838	16822	16826	539	16828◆	16823◆	16837□	0	639□	755□	1096□	0
103600	16825	16829	16820	16821	335	16827□	16823◆	16836□	0	602□	687□	1079□	0
103700	16821	16825	16805	16811	905	16825□	16823□	16835□	0	716◆	696◆	1068□	0
103800	16809	16812	16805	16807	672	16820□	16824◆	16834□	0	759◆	689□	1063□	0
103900	16807	16811	16802	16803	538	16814□	16824◆	16834□	0	598□	681□	1034□	0
104000	16804	16822	16802	16820	669	16813□	16825◆	16833□	0	624◆	694◆	1012□	0
104100	16821	16822	16811	16821	375	16813	16825◆	16832□	0	632◆	667□	1007□	0
104200	16821	16828	16811	16815	436	16813◆	16825□	16831□	0	538□	597□	1001□	0
104300	16818	16824	16802	16810	457	16814◆	16824□	16829□	0	495□	594□	990□	0
104400	16809	16809	16795	16798	696	16813□	16822□	16827□	16852	527◆	603◆	986□	1123
104500	16799	16815	16798	16811	673	16811□	16820□	16826□	16852□	528◆	589□	971□	1092□
104600	16811	16814	16802	16804	276	16808□	16819□	16825□	16852◆	508□	579□	957□	1070□
104700	16802	16811	16797	16809	464	16807□	16817□	16824□	16853◆	513◆	582◆	955□	1060□
104800	16810	16821	16802	16803	612	16805□	16816□	16823□	16853□	544◆	589◆	953□	1054□
104900	16803	16814	16798	16808	414	16807◆	16815□	16822□	16853◆	488□	579□	949□	1051□
105000	16809	16816	16807	16816	279	16808◆	16815◆	16822□	16853□	409□	550□	936□	1044□
105100	16816	16835	16814	16831	949	16814◆	16815◆	16821□	16853◆	544◆	571◆	931□	1042□
105200	16831	16834	16823	16832	405	16818◆	16816◆	16821□	16853◆	532□	575◆	914□	1039□
105300	16832	16836	16821	16823	433	16822◆	16815□	16821□	16853◆	496□	574□	905□	1038□
105400	16823	16826	16820	16824	202	16825◆	16815□	16820□	16853◆	454□	517□	884□	1033□
105500	16824	16833	16822	16824	345	16827◆	16815□	16820□	16853◆	467◆	507□	875□	1030□
105600	16826	16841	16826	16841	558	16829◆	16816◆	16819□	16853◆	389□	518◆	871□	1028□
105700	16841	16841	16825	16826	412	16828□	16816◆	16819□	16853□	390◆	493□	868□	1020□
105800	16827	16835	16823	16834	307	16830◆	16818◆	16819□	16853□	365□	475□	866□	1017□
105900	16834	16834	16826	16828	176	16831◆	16819◆	16818□	16853□	360□	457□	860□	1004□
