number,date,work,person_1,person_2,vedio,station,,,,place,others_1,others_2,
,日期,      活       （專場、隊、時間）,逗哏,捧哏,片源,網站,單/群,相聲劇, 返場 （已觀看）,地點/專場/其他,補充,,
189,20190428,切糕架子,尚九熙、何九華、秦霄賢,,午?已到字幕?,YouTube,群,,ν,湖廣會場,（返）架空賢,,
190,20190430,學啞語,宋昊然,何九華,七七如律令字幕?,微博,,,,南京德雲社,七隊混搭場,,
191,20190430,捉放曹,秦霄賢,張九泰,七七如律令字幕?,微博,,,,南京德雲社,七隊混搭場,,
192,20190430,口吐蓮花,孫九芳,馬霄戎,七七如律令字幕?,,,,,南京德雲社,七隊混搭場,,
193,20190430,論捧逗,劉筱亭,孫九香,七七如律令字幕?,,,,,南京德雲社,七隊混搭場,,
194,20190430,四方詩,尚九熙,郭霄漢,午?已到字幕?,YouTube,,,,南京德雲社,七隊混搭場,Spendid spalace / Mount Tai is magnificant,
195,20190430,返場,尚九熙、何九華、劉筱亭、張九泰、秦霄賢、孫九香、孫九芳、郭霄漢、宋昊然、馬霄戎,,七七如律令字幕?,微博,,,ν,南京德雲社,《我們能不能不分手》,,
196,20190502,返場（我劃你猜）,七隊全員,,七七如律令字幕?,YouTube,,,ν,南京德雲社,我劃你猜,,
197,20190504,說學逗唱,張九南、高九成、張鶴倫,,拖拉機字幕?,YouTube,,,,,成語接龍,像返場的正活,
198,20190505,當行論,孟鶴堂,周九良,叫什麼不吃?字幕?,,,,,上海有新人,,,
199,20190505,返場,孟鶴堂,周九良,叫什麼不吃?字幕?,,,,,上海有新人,,,
200,20190511,拴娃娃,孟鶴堂,周九良,叫什麼不吃?字幕?,YouTube,,,,呼和浩特有新人,,,
201,20190511,賣估衣,尚九熙,何九華,午?已到字幕?,,,,,承德商演,,,
202,20190512,陰陽五行,高筱貝,侯筱樓,說學逗唱字幕組,微博,,,,湖廣午場,,,
203,20190519,學跳舞,孟鶴堂,周九良,叫什麼不吃?字幕?,,,,,無錫有新人,,,
204,20190525,酒令,王九龍、張九齡、燒餅,,不??吧,,,,,三裡屯,,,
205,20190525,黃鶴樓,孟鶴堂,周九良,,官錄,,,,北展專場,主公上馬了,,
206,20190525,大保鑣,孟鶴堂,周九良,,官錄,,,,北展專場,,,
207,20190526,學滿語,尚九熙,何九華,午?已到字幕?,YouTube,,,ν,三裡屯,（返場）華背地裡圖,,
208,20190528,學啞語,尚九熙,何九華,午?已到字幕?,YouTube,,,,長春晚場,,,
209,20190530,同仁堂,劉筱亭,張九泰,土豆??工廠字幕?,YouTube,,,,長春晚場,,,
210,20190530,捉放曹,尚九熙,何九華,午?已到字幕?,YouTube,,,,長春晚場,,,
211,20190607,梁祝,孟鶴堂,周九良,,官錄,,,,天津專場,,,
212,20190608,舞蹈家,秦霄賢,何九華,午?已到字幕?,YouTube,,,,長春德雲社,,,
213,20190608,金剛腿,尚九熙、何九華、秦霄賢,,午?已到字幕?,YouTube,群,,,長春晚場,,,
214,20190609,繞口令,孟鶴堂,周九良,叫什麼不吃?字幕?,網易雲音樂,,,,長春專場,,,
215,20190614,歪唱太平歌詞,尚九熙,何九華,午?已到字幕?,,,,,三裡屯,,,
216,20190615,成長的煩惱,尚九熙,何九華,午?已到字幕?,YouTube,,,,三裡屯午場,,,
217,20190615,禮儀漫談,尚九熙,何九華,午?已到字幕?,YouTube,,,,三裡屯晚場,,,
218,20190615,拴娃娃,孟鶴堂,周九良,叫什麼不吃?字幕?,YouTube,,,,常州專場,,,
219,20190619,新編．論夢,孟鶴堂,何九華,叫什麼不吃?字幕?,微博,,,,三裡屯,,,
220,20190622,買賣論,靳鶴嵐,朱鶴松,要你命三千字幕?,微博,,,,新街口,,,
221,20190622,學跳舞,孟鶴堂,周九良,叫什麼不吃?字幕?,YouTube,,,,深圳專場,,,
222,20190622,汾河灣,孟鶴堂,周九良,叫什麼不吃?字幕?,YouTube,,,,深圳專場,鶴堂啊,外邊熱啊,
223,20190622,結巴論,孟鶴堂,周九良,叫什麼不吃?字幕?,YouTube,,,,深圳專場,,,
224,20190627,黃鶴樓,尚九熙,周九良,叫什麼不吃?字幕?,微博,,,,熙華天橋劇場匯報演出, ,,
225,20190627,返場（找五子）,尚九熙、何九華、孟鶴堂,,叫什麼不吃?字幕?,微博,群,,ν,熙華天橋劇場匯報演出, ,,
226,20190629,梁祝,孟鶴堂,周九良,叫什麼不吃?字幕?,YouTube,,,,成都專場,,,
227,20190705,黃鶴樓,劉筱亭,張九泰,土豆??工廠字幕?,,,,,天橋劇場,,,
228,20190707,跳大神,尚九熙,何九華,午?已到字幕?,YouTube,,,,天橋晚場,,,
229,20190713,百鳥之王,孟鶴堂,周九良,,官錄,,,,瀋陽專場,,,
